ID: 1024, Total Energy Usage: 9240.0
ID: 1025, Total Energy Usage: 10740.0
ID: 1026, Total Energy Usage: 7350.0
ID: 1027, Total Energy Usage: 13075.0
ID: 1028, Total Energy Usage: 11205.0
ID: 1029, Total Energy Usage: 11615.0
ID: 1030, Total Energy Usage: 11300.0
ID: 1031, Total Energy Usage: 9800.0
ID: 1032, Total Energy Usage: 15000.0
ID: 999, Total Energy Usage: 9000.0
ID: 1001, Total Energy Usage: 11130.0
ID: 1002, Total Energy Usage: 10160.0
ID: 1003, Total Energy Usage: 14280.0
ID: 1004, Total Energy Usage: 11760.0
ID: 1005, Total Energy Usage: 12735.0
ID: 1006, Total Energy Usage: 6580.0
ID: 1007, Total Energy Usage: 8450.0
ID: 1008, Total Energy Usage: 11065.0
ID: 1009, Total Energy Usage: 10195.0
ID: 1010, Total Energy Usage: 9310.0
ID: 1011, Total Energy Usage: 11480.0
ID: 1012, Total Energy Usage: 11385.0
ID: 1013, Total Energy Usage: 10450.0
ID: 1014, Total Energy Usage: 11935.0
ID: 1016, Total Energy Usage: 11450.0
ID: 1017, Total Energy Usage: 9835.0
ID: 1018, Total Energy Usage: 12505.0
ID: 1019, Total Energy Usage: 7595.0
ID: 1020, Total Energy Usage: 12005.0
ID: 1021, Total Energy Usage: 10645.0
ID: 1022, Total Energy Usage: 9880.0
ID: 1023, Total Energy Usage: 11470.0
